Bundle Id;Número de estrelas do comentário;Texto do comentário;Id do comentário;Data do comentário;Numero de estrelas do aplicativo
pe.diegoveloper.pseudocode;5;Cool app for beginners;gp:AOqpTOHgvra6v3EAEjWvRbi3wuiFBzR6RTocxbR6qKHXDbIc3oEgnJwGnsmVt1hK9GCLWY3c8_kF0ziTrwqMU38;2018-08-03T03:46:14.140Z;4.4
pe.diegoveloper.pseudocode;5;It's helpfull! Simple and effective.;gp:AOqpTOFqCt0CqqdmUxhZUECHTRQ7BzF9mzNML2_cbu9TRXLSfUXaV6stXBWt3bpd5MMdh8IwPRJpbbWW73IO1AQ;2018-07-17T02:24:57.690Z;4.4
pe.diegoveloper.pseudocode;5;Good;gp:AOqpTOEYPObAhTggC_3D5m2ysaJj3BNXzGkgNQpToF039axgZnSI8uyIHWLZoEZyhxisaOxUNqUZZqecNV-95Xw;2018-04-07T22:00:36.560Z;4.4
pe.diegoveloper.pseudocode;5;Exelente, Gracias!!!;gp:AOqpTOFT0gwMG1WVw9-RPA8aytH6Q6yxtZAUsN3u6Grwq7z57iIUWxTkGvBg6Y_2CucoeBOJgHy50VKJ4lHzu08;2018-04-06T01:30:26.593Z;4.4
pe.diegoveloper.pseudocode;1;Un asco.. aparte pones pseint para atraer mas gente.. hiciste el curso de android por platzi? Lamentable;gp:AOqpTOG_OCLepdyawkq_LbGEuoaiU06ueDq46--fSfnPxk9dnK15qoC-ETgnLftV-4YyDl3shUHATaUqYuHsQ3I;2018-03-31T08:59:20.234Z;4.4
pe.diegoveloper.pseudocode;4;Great idea!  The only reason it's not 5/5 is due to the limited amount of pseudocode solution examples.  I would pay to unlock more of such content.;gp:AOqpTOGShWWvg31ea2vdL7gK-MZBctKEVQ6gqlfscHMRL7W1IQ8Vdtd6wMGiQFNFO83Q9NeHmhHysAjvr4yc7bE;2018-03-08T10:42:53.829Z;4.4
pe.diegoveloper.pseudocode;5;Recomendable por que Si tiene mas o menos las características de Pseint...;gp:AOqpTOGo9i5woSJSGxE0HXYGgInSd9uJ5pDbN01bQ2kVT6bIYn_7ROXxx-wUifiSm4-PMlmtDhS1CgAsX0JHols;2018-02-23T00:55:27.837Z;4.4
pe.diegoveloper.pseudocode;5;Really useful , thanks for made this app and help me a lot, I really appreciate it :D;gp:AOqpTOF-3ihD-lKvNZ61PbWYpCMBhIgQpQ5LXTHuLrya1r5Dn1U3h_pJqCHPMgllbK8SXduhX_z9THjhDQYZmaU;2018-02-04T10:08:57.750Z;4.4
pe.diegoveloper.pseudocode;5;Most easy and well designed app to learn algorithms​, programming etc. Perfect​ tool for beginner​s to explore​ and for advanced users to code on the go. Thanks for making this app. One suggestion - please​ add facility​ to zoom in zoom out the text. :);gp:AOqpTOEzwN55jezIkbVWF4VtuvY_ThZ1SXb4U2TZbPg1dUMofdGnh6q4oFd6K3sXC9H9NUy35_quehgCs1N5Bao;2018-01-06T11:48:34.730Z;4.4
pe.diegoveloper.pseudocode;5;Awesome app;gp:AOqpTOFRPocVN-kDqdpxKHf499ARE2iWiTOzulXyih8TR07NykICileHHql_f4ENzRVbs2jtsFnIjwVEai0Dx0E;2017-11-24T04:30:40.104Z;4.4
pe.diegoveloper.pseudocode;5;The best !!!;gp:AOqpTOHBqWAC8M0mDkNqPO27q3HVHVgiDiCxZFJwPOxMd56tdkJ675n5hl9mLS2vS_n7OXbQo-nHA_ZsXlEFfAc;2017-11-12T18:22:32.397Z;4.4
pe.diegoveloper.pseudocode;5;Si esta buena y jala;gp:AOqpTOFsNiPFYpf9jKZ5XXgur-y8XRjlco17l58F9iB1XmIfE6sWGfIIsIjf3-VhZYQ2-KorPD3P0vRtUmZbpQc;2017-10-23T18:50:12.128Z;4.4
pe.diegoveloper.pseudocode;5;Excellent!;gp:AOqpTOHZ262oQTTENH8vRaoAkqPwpYzgRKHTLA_siWvFhS7ZIEypEjY6yqmGYH5w0vup5PiBUhVkw1eIBtaeNQ8;2017-10-21T04:23:58.729Z;4.4
pe.diegoveloper.pseudocode;5;I don't know if I am right but you should look for word spelling in practice section because I think that you typed wrong some words and also look if the app it's working with fractional numbers,but this app it's very nice and I like it and I hope you will make the app better;gp:AOqpTOG_iezeQXwt6PH2A2yEg0MvfPiIXl4e8n940d2YVK2_4nWV-DoLAljrSic4iDt2GStL8jRYjnG2UEczOmE;2017-10-14T17:46:31.113Z;4.4
pe.diegoveloper.pseudocode;4;Cool app that's has very great potential. Few kinks and bugs here, like one bug, can't login to my account.  Would also love to see a comment section in the app so we can communicate without something is, or ask questions about something.;gp:AOqpTOGDWsvOCLFKmmKFTwx_Exde15411OKsFXrFLWwZS6We_sSJxI8px9iZdIhLUG3XnO8L7QVaDL49ajmkJYs;2017-10-11T16:44:30.294Z;4.4
pe.diegoveloper.pseudocode;5;CLASSICAL;gp:AOqpTOH3fjvNNBJqA3Mjlxh_xFTB0gzsdGcvQDi9D4x5MXiYZPgFvKHoMyR7tp6Az1EP6bFj3eO_OI1WVeA-qPU;2017-08-29T04:22:46.369Z;4.4
pe.diegoveloper.pseudocode;5;Thank a lot it's perfect even on portuguese !! 5 stars!!;gp:AOqpTOFV6h9zxpWJ8_7cI1to6V3vbM9xPnqW6g2ALP60AkXQEJeLTDRjSX2oWOuTFJs07HH6Zk49aPbS_VB7PJM;2017-08-25T23:51:55.412Z;4.4
pe.diegoveloper.pseudocode;5;ótimo;gp:AOqpTOGS_HKrK2CKbnTFr2uis8kjDw8lL7lp0W6AO1TpPlk7MivDv2gWDd2cPEF391invv4ylk1ryFve2rhQOrM;2017-08-21T19:50:49.484Z;4.4
pe.diegoveloper.pseudocode;5;This app is incred;gp:AOqpTOHEBo4p-SjQ1UUKc_biSklkszaSreyQtLSfq61rTJuyePppfc3gSp1yTEIh2wvXg16a_Q6sZwQWz8jzdq4;2017-07-30T22:18:49.323Z;4.4
pe.diegoveloper.pseudocode;5;Very useful app;gp:AOqpTOHLyAZutrgWmJwjHRoCeHLnYRxu7km2v0Ep_mBT1nUgQL6dfva2U_CAjS3L3bjwkgF_cJwxUbV5g--RQmw;2017-05-17T20:28:17.160Z;4.4
pe.diegoveloper.pseudocode;5;It what I wanted, just perfect;gp:AOqpTOEaOCEm-Dsg_Zobmytqn2Yndbe8RfgaKGJrODnuButBxW1UKnjB9Ywz7DqJ6PBUqh0tOoNlN5-8Sf5vch0;2017-05-16T06:11:11.694Z;4.4
pe.diegoveloper.pseudocode;4;Excelente aplicacion ( es la version adpatable del pseint original en pc ) .Contras : No tiene la funcion de ver el pseudocodigo en diagramas de flujo  como el de pc,  ni de seguirlo paso a paso el codigo , cosas que son muy importantes . Seria muy bueno que en la proxima version o actualizacion que lanzen agreguen esas funciones de a poco 😁. Por lo demas excelente adaptacion de la version original que ayuda al estudiante a introducirse poco a poco a la programacion;gp:AOqpTOFvR-YQN1jRVdchecBNn4wueGH-POlfw6TMuIPxg8mkBgSMo5i03atW70heNJtmkaX860BbEbXabe_S1c8;2017-04-25T00:53:26.924Z;4.4
pe.diegoveloper.pseudocode;5;Definitely what I was looking for! I had an idea about how codes work, but I could never learn their syntax nor the argument names. This app solved all those problems!;gp:AOqpTOEuyn5ZvrmOXsgkIesWuvWwsaflOD9jmO7rX1kW1buylTXlA98VL8s21X-SsGgqmYVuiH0jESD4Gqcl_XA;2017-04-19T15:29:17.766Z;4.4
pe.diegoveloper.pseudocode;5;Works pretty well;gp:AOqpTOEd9YxqXtCx8Fw3-g4bzTgQinLOwULdPIJbXJgxDWnXkSWPFMKgyoaQ1hUJ0iJM1lsorMYuTtIekNXUfrI;2017-04-15T19:41:03.556Z;4.4
pe.diegoveloper.pseudocode;5;Than ks;gp:AOqpTOF845RnS5s0o5wMOXKLIYoIBZy85qVEETJvr7Vo7nlvpM3tT3xe7kkxTFOlqAM0YUCZZ_3nu7RIQRu74o4;2017-04-11T14:15:10.106Z;4.4
pe.diegoveloper.pseudocode;5;Useful;gp:AOqpTOER7mQBOmeZKfKvTLrG1j77G6TG-vO1JB-O46_C98I9XzG5C9GVz75K92Cy97lGZCcjWZ26rjVqZba2LXs;2017-03-29T12:04:50.830Z;4.4
pe.diegoveloper.pseudocode;3;It works sometimes;gp:AOqpTOHg6lPJyw_2rnWIMpIuhwnkOm928sjFuIBI3R4gBQHwqkCNMv623WbCNvRhVsuHKJuDqI5A0i_W8eXuljY;2017-03-19T14:25:07.693Z;4.4
