bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais
com.codepoint.learnrprogramming;3;0;0;3
com.sololearn.jquery;62;2;11;75
com.indiatechstore.learntocode;10;1;0;11
com.gvapps.csk;35;1;7;43
coding.riya_rayan.ccoding;45;2;5;52
com.codepoint.learnphp7;8;0;0;8
com.alansa.ideabag2;110;6;16;132
com.apkzube.learnpython;133;7;29;169
br.com.alura.mobi;10;23;39;72
com.additioapp.additio;126;35;36;197
com.udemy.android;162;10;28;200
com.saifraheem.computerlibrary;63;1;96;160
com.appzap.learncprogramminginhindi;30;3;10;43
com.redlee90.learn6502assembly;38;7;5;50
com.practice_o_learn.javaprogramming;41;0;3;44
io.hackr.hackr;95;4;28;127
learn.java.programming;39;0;4;43
com.spyboy.javaprogramming;30;1;6;37
cc.taimoor.rubycourse;10;0;0;10
com.appybuilder.aadi_ben16.CTuit;4;0;1;5
com.back_banchers.html;143;13;44;200
com.newageproductions.learnc;10;0;5;15
learn.apps.arduinoprogramming;21;3;10;34
com.cprograms4future.allcprograms;164;5;31;200
com.app1daily.aspdotnet;4;0;1;5
com.sizzlesoftlabs.learn.expertc;47;2;5;54
io.codegalaxy;5;0;2;7
com.java.questionwithanswerinterview.android;152;23;25;200
wscubetech.android;0;0;2;2
com.apps21.cursodecomputacion;94;10;43;147
com.apkzube.learnrprogramming;26;2;6;34
com.JustForYouLimited.LearnASPOffline;2;0;0;2
com.programmarc.cprogrammingbangla;65;0;26;91
com.quizmine.androidwp7;4;0;0;4
com.codepoint.learnangular;159;9;32;200
com.knightcoder.programmingebooks;140;27;33;200
com.muktosoft.cpbook;143;1;56;200
com.languagedrops.drops.international;164;12;24;200
com.freeit.java;172;3;25;200
com.quizlet.quizletandroid;174;4;22;200
learn.c.programing;50;1;14;65
com.aceable.aceablere_android;39;1;7;47
com.educationapps.cncprogrammingexamples;51;0;8;59
app.compiler;150;14;36;200
org.pbskids.scratchjr;25;5;13;43
ru.foxford.foxfordtextbook;15;0;71;86
com.shalik.patel.cprogrammingsolution;75;1;10;86
com.plokia.ClassUp;134;22;44;200
learn.apps.unixprogramming;25;4;8;37
com.duhnnae.programmingprogramacion;3;1;0;4
com.mesalva.provas;8;2;32;42
everyneedz.com.webdevelopment;156;7;37;200
com.datacamp;173;9;18;200
com.KodlamaLab.KodlamaLab;0;0;9;9
com.medbridgeed.clinician;146;3;13;162
com.roboCourse.crux.roboCourseFree;20;1;3;24
com.sphero.sprk;151;15;34;200
com.yugenchokshi.wil;17;3;5;25
com.media.programming.point.hub.sololearn.tutorialspoint;1;0;0;1
org.khanacademy.android;143;22;35;200
seesaw.shadowpuppet.co.classroom;156;16;28;200
net.lebdevelopers.masterflutter;4;0;0;4
np.com.ezone.eschool;31;0;13;44
com.theeasylearn.java;37;3;9;49
com.xtelltechnologies.htmltutoriallearncodetagscss;6;2;3;11
com.successcrazzy.datascience101;145;21;34;200
pe.diegoveloper.pseudocode;33;5;15;53
org.qpython.qpy3;130;27;43;200
com.easy.hp.cpptutorial;173;3;24;200
com.code.jupiter.learnphp;95;4;18;117
com.cyberloft.pascalprogramming;20;1;3;24
com.andromo.dev788265.app919966;1;0;0;1
free.programming.programming;145;12;43;200
com.sitseducators.javapatternprogramsfree;175;4;21;200
com.program.csharp;0;1;0;1
com.csmcqs.asif.dsmcqs;3;1;1;5
indiedev.learncoding;0;0;2;2
com.sololearn.sql;162;15;23;200
programming.structured.knecstructuredprogrammingpapers;7;1;2;10
sambhaji.asp.vb;136;25;39;200
iule.app.tec.concurso;1;0;0;1
com.thanhdo.tutorial.apextutorial;1;0;3;4
com.alientrix.pritam.salesforce;11;2;6;19
lifegoal.helpinghands.machinelearning;8;0;0;8
com.aswdc_learn_programming;2;0;0;2
com.japangor.python;13;3;6;22
com.bnb.javaprogramming;5;1;1;7
org.coursera.android;126;38;36;200
com.sortedqueue.programmercreek;38;2;8;48
com.cruxbd.iotlearning;3;0;0;3
com.binibambini.NumbersMonstersLite;144;13;43;200
coolfreeapps.appslaborator.html.course;35;2;5;42
com.csharp.learn.essentials;136;31;33;200
com.app1daily.a1db308;3;0;0;3
com.cprogramminglanguage;2;0;0;2
com.myhomeowork;148;19;33;200
com.rpms.rohitpatil.learnjava;95;2;7;104
morsecode.ort.com.morse;111;11;45;167
micro.bots.learn.html5;11;0;2;13
com.tgc.greatcoursesplus;128;42;30;200
com.sololearn.ruby;101;7;19;127
com.myprg.aakash.ardunioprogramming;19;0;2;21
com.edmodo.parents;169;8;23;200
com.kodigen.gobyexample;2;1;0;3
com.milcanx.learnandroidapp;66;4;13;83
seesaw.shadowpuppet.co.seesaw;155;11;34;200
learn.apps.htmlprogramming;3;0;4;7
br.com.cpb.academico;1;3;15;19
com.HTML.AngularJS.Codeplay;163;8;29;200
in.learncodeonline.lco;167;12;21;200
tk.app.start;0;0;1;1
kr.robotmedia.android.stack.mini;0;0;1;1
learn.apps.rprogramming;3;0;1;4
learn.apps.javascriptprogramming;9;1;0;10
com.codepoint.learnandroid;58;4;10;72
com.sololearn.php;146;7;47;200
mobile.olimpia.com.aprendeelectronica;24;10;21;55
app.tutormundi.com;3;0;4;7
gudev.visualbasicvb.net;1;0;0;1
com.wProgrammingBooksfree_8766206;5;0;1;6
com.skyapper.learnaiwithpython;2;0;0;2
com.biiteducation.cpp;41;2;5;48
in.softecks.ruby;2;2;1;5
avivace.daily_programmer;11;4;6;21
com.coding.dmr.c;5;0;1;6
learn.apps.phpprogramming;5;0;4;9
learn.reactnative.tutorial;16;0;1;17
com.kodigen.pythonbyexample;4;1;3;8
com.back_banchers.css;7;0;1;8
com.jkfantasy.morseaudio;4;0;0;4
tursky.jan.nauc.sa.html5;132;22;46;200
com.conedevstudio.morse.free;2;0;2;4
com.faadooengineers.free_webtechnology;19;6;8;33
org.stepic.droid;142;12;46;200
com.saifraheem.BagoLearn;39;1;63;103
technark.rforbeginners;5;2;0;7
neuron.makeblock.com;5;3;1;9
com.lekastudio.learnhcj;15;1;4;20
com.edokiacademy.babycoding;23;5;1;29
com.continuum.learncss;31;3;6;40
com.bootstrap.code.play;34;1;5;40
in.intelitech.rprogramming;2;0;0;2
coolfreeapps.appslaborator.web.development.course;6;0;3;9
sgdevelopers.learn_c_programming;49;0;9;58
excel.shortcuts;178;4;18;200
com.enki.insights;171;9;20;200
com.codepoint.learnjavascript;16;1;3;20
com.atulindap.gotutorials;8;0;0;8
clipescola.android;0;0;1;1
kr.co.rinasoft.yktime;159;16;25;200
org.catrobat.catroid;118;34;48;200
com.recurvo.ace.cpt.practice.exam.prep;2;0;1;3
vsapps.computerprogram;9;0;3;12
com.careerkarma.chat;119;5;13;137
com.codepoint.computerProgramming;10;0;2;12
com.binarytuts.cprogrammingcode;2;0;2;4
com.nupuit.necd;9;0;2;11
com.theeasylearn.rprogramming;25;1;2;28
io.cordova.ComputerProgrammingCP;5;1;3;9
com.codepoint.learnnodejs;18;2;2;22
io.kodular.rijukeyshonsrijan.dp;4;0;0;4
com.velosys.interview_preparation;28;6;5;39
com.lpalominos.horariodeclases;3;1;2;6
com.krazeapps.cppprogrammingcompiler;2;2;2;6
br.com.eteg.escolaemmovimento.escolaEmMovimentoAgendaDigital;0;0;1;1
com.faadooengineers.free_principlesofprogramming;9;1;2;12
com.irawen_info.MatLab;5;5;2;12
com.gjam.learnhtml;2;0;0;2
br.gov.pr.celepar.escolapr;0;3;13;16
learn.apps.cssprogramming;30;1;7;38
com.continuum.learnhtml;61;3;11;75
in.softecks.python;8;2;0;10
com.skyapper.hb.learncnet;16;0;5;21
com.pratipalgif.LearnC;0;0;3;3
com.aplicativoslegais.easystudy;70;6;16;92
com.rushhourlabs.morsecode;14;3;2;19
com.blogspot.ustadtech.c_programmingwithme;6;0;2;8
app.oopcodeskyhive;11;4;5;20
org.vivek.cherala.vhdlprogramming;10;6;7;23
com.wITandProgrammingandComputerScienceFreeBooks_7782437;8;0;2;10
com.coolbase.cprogramming;7;4;1;12
php.code.play;28;2;4;34
com.gokazu;31;0;1;32
com.nvizn.nvizinideasqr;1;1;0;2
com.swastik.operationalresearch;23;3;9;35
com.thunkable.android.techword4u.Basic_C_Programming;9;2;1;12
com.chavan.oops;51;3;10;64
com.clanguage.pradip.bitsofcomputer;18;0;3;21
labprograms.abin.programmingexercises;14;0;4;18
in.learncodeonline.global;17;0;1;18
com.awwalsoft.javadeeplearning;160;10;30;200
com.soft24hours.dictionaries.dictionary22;2;0;0;2
project.com.clanguage;11;0;1;12
com.niesens.morsetrainer;4;1;0;5
com.tsquare.androidtutorial;8;2;7;17
com.robo.programming;3;0;2;5
com.quizmine.webprogram;4;1;0;5
bishrulhaq.learntocode;15;0;0;15
sgdevelopers.learn_cpp_programming;41;1;10;52
com.learn.electronics.course;15;3;7;25
com.br.dicionariodeti;1;0;0;1
gudev.learn.phpprogrammingcoding;10;0;2;12
com.creativeworld.android.geeks_code;27;5;5;37
com.futurevisioncomputers.cppquiz;5;0;0;5
diploma.in.computerapplication;2;1;5;8
com.learnswiftprogramming;7;2;5;14
com.apkzube.learnjavaprogramming;83;2;11;96
com.LM.PGS;44;7;13;64
