bundle id;comentarios positivos;comentarios negativos;comentarios neutros;comentarios totais;estatistica do aplicativo;numero de estrelas
com.mrduy.calc.ti36;171;5;24;200;0.9715909090909091;undefined
com.educationapps.gmcodereference;19;0;9;28;1;undefined
com.codeliber.html;107;0;16;123;1;undefined
com.learnprogramming.codecamp;174;2;24;200;0.9886363636363636;undefined
com.smokyink.morsecodementor;59;9;12;80;0.8676470588235294;undefined
com.id.enem;14;3;39;56;0.8235294117647058;undefined
ru.iiec.pydroid3;154;13;33;200;0.9221556886227545;undefined
com.wandcode.cheatsheet;6;0;2;8;1;undefined
com.andromo.dev601172.app848116;1;0;0;1;1;undefined
com.CoderBro.tutorials.arduinotutorials;127;15;47;189;0.8943661971830986;undefined
com.hussainlabs.androiddevelopmentcourse;119;28;53;200;0.8095238095238095;undefined
com.best.don.programmingbooks;105;10;18;133;0.9130434782608695;undefined
com.dztall.ccr.android.admob;138;26;36;200;0.8414634146341463;undefined
com.dynamic.programming.free;0;0;1;1;NaN;undefined
com.curiosity.dailycuriosity;169;11;20;200;0.9388888888888889;undefined
in.softecks.perl;4;0;1;5;1;undefined
com.studytonight.app;168;7;25;200;0.96;undefined
com.mosalingua.esfree;161;13;26;200;0.9252873563218391;undefined
com.amensah.easycoder;33;2;5;40;0.9428571428571428;undefined
com.lohriialo.swift;17;2;4;23;0.8947368421052632;undefined
itools.aiwithpython;11;1;5;17;0.9166666666666666;undefined
technark.bca_courprogramming;163;4;33;200;0.9760479041916168;undefined
com.ligonier.refnet;172;7;21;200;0.9608938547486033;undefined
com.easy.home.javatutorial;60;1;5;66;0.9836065573770492;undefined
com.inglesbrasil.teacherwilliam.inglsbrasil;80;11;109;200;0.8791208791208791;undefined
com.skyapper.learnaspnet;3;0;1;4;1;undefined
com.Store.ReaderPro;88;3;17;108;0.967032967032967;undefined
com.ryzac.codecademygo;73;56;71;200;0.5658914728682171;undefined
com.fusionprojects.edmodo;119;26;55;200;0.8206896551724138;undefined
com.codetoinvent.malik.cprogramming;9;0;3;12;1;undefined
make.itdigit.al.python;128;27;45;200;0.8258064516129032;undefined
com.py.learn;156;17;27;200;0.9017341040462428;undefined
cordova.code.play;106;0;10;116;1;undefined
com.ahmed544.php;49;4;147;200;0.9245283018867925;undefined
com.codepoint.learndart;4;1;1;6;0.8;undefined
com.sololearn.javascript;144;16;40;200;0.9;undefined
programming.android.tutorial;170;9;21;200;0.9497206703910615;undefined
com.dexterousdevelopers.cprogrammingtutorials;27;0;2;29;1;undefined
com.mvdevelopment.learnvbnet;15;1;0;16;0.9375;undefined
com.moonbitmedia.learnscalaeasyway;0;1;0;1;0;undefined
com.japangor.learntocodec;14;4;6;24;0.7777777777777778;undefined
com.duy.pascal.compiler;159;4;37;200;0.9754601226993865;undefined
com.appsfacto.hundred_one_c_problems;158;5;33;196;0.9693251533742331;undefined
com.sweinc.powershell;24;0;1;25;1;undefined
com.yohanadisetiawan.LearnCode;1;0;0;1;1;undefined
com.appsfactory.learnpython;168;1;31;200;0.9940828402366864;undefined
learn.apps.androidprogramming;7;3;3;13;0.7;undefined
com.sololearn;173;4;23;200;0.9774011299435028;undefined
com.skyapper.learnspring;7;0;1;8;1;undefined
com.futurevisioncomputers.excelvba;24;3;5;32;0.8888888888888888;undefined
com.jids.lspexample;33;0;5;38;1;undefined
com.atistudios.italk.de;159;2;39;200;0.9875776397515528;undefined
name.antonsmirnov.android.cppdroid;131;33;36;200;0.7987804878048781;undefined
training.computing.scratchkids;117;26;57;200;0.8181818181818182;undefined
com.reezx.android.learncprogramming;93;7;23;123;0.93;undefined
com.limesdevelopment.morsecode;49;7;13;69;0.875;undefined
com.SM_Developer;39;0;2;41;1;undefined
com.ummaysoft.arduinoprogrammingnotebook;1;0;0;1;1;undefined
com.code.jupiter.learnjavascript;53;3;5;61;0.9464285714285714;undefined
com.rrplayspot.learn.computer.in.seven7.days;163;7;30;200;0.9588235294117647;undefined
com.codepoint.learnrprogramming;3;0;0;3;1;undefined
com.sololearn.jquery;62;2;11;75;0.96875;undefined
com.indiatechstore.learntocode;10;1;0;11;0.9090909090909091;undefined
com.gvapps.csk;35;1;7;43;0.9722222222222222;undefined
coding.riya_rayan.ccoding;45;2;5;52;0.9574468085106383;undefined
com.codepoint.learnphp7;8;0;0;8;1;undefined
com.alansa.ideabag2;110;6;16;132;0.9482758620689655;undefined
com.apkzube.learnpython;133;7;29;169;0.95;undefined
br.com.alura.mobi;10;23;39;72;0.30303030303030304;undefined
com.additioapp.additio;126;35;36;197;0.782608695652174;undefined
com.udemy.android;162;10;28;200;0.9418604651162791;undefined
com.saifraheem.computerlibrary;63;1;96;160;0.984375;undefined
com.appzap.learncprogramminginhindi;30;3;10;43;0.9090909090909091;undefined
com.redlee90.learn6502assembly;38;7;5;50;0.8444444444444444;undefined
com.practice_o_learn.javaprogramming;41;0;3;44;1;undefined
io.hackr.hackr;95;4;28;127;0.9595959595959596;undefined
learn.java.programming;39;0;4;43;1;undefined
com.spyboy.javaprogramming;30;1;6;37;0.967741935483871;undefined
cc.taimoor.rubycourse;10;0;0;10;1;undefined
com.appybuilder.aadi_ben16.CTuit;4;0;1;5;1;undefined
com.back_banchers.html;143;13;44;200;0.9166666666666666;undefined
com.newageproductions.learnc;10;0;5;15;1;undefined
learn.apps.arduinoprogramming;21;3;10;34;0.875;undefined
com.cprograms4future.allcprograms;164;5;31;200;0.9704142011834319;undefined
com.app1daily.aspdotnet;4;0;1;5;1;undefined
com.sizzlesoftlabs.learn.expertc;47;2;5;54;0.9591836734693877;undefined
io.codegalaxy;5;0;2;7;1;undefined
com.java.questionwithanswerinterview.android;152;23;25;200;0.8685714285714285;undefined
wscubetech.android;0;0;2;2;NaN;undefined
com.apps21.cursodecomputacion;94;10;43;147;0.9038461538461539;undefined
com.apkzube.learnrprogramming;26;2;6;34;0.9285714285714286;undefined
com.JustForYouLimited.LearnASPOffline;2;0;0;2;1;undefined
com.programmarc.cprogrammingbangla;65;0;26;91;1;undefined
com.quizmine.androidwp7;4;0;0;4;1;undefined
com.codepoint.learnangular;159;9;32;200;0.9464285714285714;undefined
com.knightcoder.programmingebooks;140;27;33;200;0.8383233532934131;undefined
com.muktosoft.cpbook;143;1;56;200;0.9930555555555556;undefined
com.languagedrops.drops.international;164;12;24;200;0.9318181818181818;undefined
com.freeit.java;172;3;25;200;0.9828571428571429;undefined
com.quizlet.quizletandroid;174;4;22;200;0.9775280898876404;undefined
learn.c.programing;50;1;14;65;0.9803921568627451;undefined
com.aceable.aceablere_android;39;1;7;47;0.975;undefined
com.educationapps.cncprogrammingexamples;51;0;8;59;1;undefined
app.compiler;150;14;36;200;0.9146341463414634;undefined
org.pbskids.scratchjr;25;5;13;43;0.8333333333333334;undefined
ru.foxford.foxfordtextbook;15;0;71;86;1;undefined
com.shalik.patel.cprogrammingsolution;75;1;10;86;0.9868421052631579;undefined
com.plokia.ClassUp;134;22;44;200;0.8589743589743589;undefined
learn.apps.unixprogramming;25;4;8;37;0.8620689655172413;undefined
com.duhnnae.programmingprogramacion;3;1;0;4;0.75;undefined
com.mesalva.provas;8;2;32;42;0.8;undefined
everyneedz.com.webdevelopment;156;7;37;200;0.9570552147239264;undefined
com.datacamp;173;9;18;200;0.9505494505494505;undefined
com.KodlamaLab.KodlamaLab;0;0;9;9;NaN;undefined
com.medbridgeed.clinician;146;3;13;162;0.9798657718120806;undefined
com.roboCourse.crux.roboCourseFree;20;1;3;24;0.9523809523809523;undefined
com.sphero.sprk;151;15;34;200;0.9096385542168675;undefined
com.yugenchokshi.wil;17;3;5;25;0.85;undefined
com.media.programming.point.hub.sololearn.tutorialspoint;1;0;0;1;1;undefined
org.khanacademy.android;143;22;35;200;0.8666666666666667;undefined
seesaw.shadowpuppet.co.classroom;156;16;28;200;0.9069767441860465;undefined
net.lebdevelopers.masterflutter;4;0;0;4;1;undefined
np.com.ezone.eschool;31;0;13;44;1;undefined
com.theeasylearn.java;37;3;9;49;0.925;undefined
com.xtelltechnologies.htmltutoriallearncodetagscss;6;2;3;11;0.75;undefined
com.successcrazzy.datascience101;145;21;34;200;0.8734939759036144;undefined
pe.diegoveloper.pseudocode;33;5;15;53;0.868421052631579;undefined
org.qpython.qpy3;130;27;43;200;0.8280254777070064;undefined
com.easy.hp.cpptutorial;173;3;24;200;0.9829545454545454;undefined
com.code.jupiter.learnphp;95;4;18;117;0.9595959595959596;undefined
com.cyberloft.pascalprogramming;20;1;3;24;0.9523809523809523;undefined
com.andromo.dev788265.app919966;1;0;0;1;1;undefined
free.programming.programming;145;12;43;200;0.9235668789808917;undefined
com.sitseducators.javapatternprogramsfree;175;4;21;200;0.9776536312849162;undefined
com.program.csharp;0;1;0;1;0;undefined
com.csmcqs.asif.dsmcqs;3;1;1;5;0.75;undefined
indiedev.learncoding;0;0;2;2;NaN;undefined
com.sololearn.sql;162;15;23;200;0.9152542372881356;undefined
programming.structured.knecstructuredprogrammingpapers;7;1;2;10;0.875;undefined
sambhaji.asp.vb;136;25;39;200;0.84472049689441;undefined
iule.app.tec.concurso;1;0;0;1;1;undefined
com.thanhdo.tutorial.apextutorial;1;0;3;4;1;undefined
com.alientrix.pritam.salesforce;11;2;6;19;0.8461538461538461;undefined
lifegoal.helpinghands.machinelearning;8;0;0;8;1;undefined
com.aswdc_learn_programming;2;0;0;2;1;undefined
com.japangor.python;13;3;6;22;0.8125;undefined
com.bnb.javaprogramming;5;1;1;7;0.8333333333333334;undefined
org.coursera.android;126;38;36;200;0.7682926829268293;undefined
com.sortedqueue.programmercreek;38;2;8;48;0.95;undefined
com.cruxbd.iotlearning;3;0;0;3;1;undefined
com.binibambini.NumbersMonstersLite;144;13;43;200;0.9171974522292994;undefined
coolfreeapps.appslaborator.html.course;35;2;5;42;0.9459459459459459;undefined
com.csharp.learn.essentials;136;31;33;200;0.8143712574850299;undefined
com.app1daily.a1db308;3;0;0;3;1;undefined
com.cprogramminglanguage;2;0;0;2;1;undefined
com.myhomeowork;148;19;33;200;0.8862275449101796;undefined
com.rpms.rohitpatil.learnjava;95;2;7;104;0.979381443298969;undefined
morsecode.ort.com.morse;111;11;45;167;0.9098360655737705;undefined
micro.bots.learn.html5;11;0;2;13;1;undefined
com.tgc.greatcoursesplus;128;42;30;200;0.7529411764705882;undefined
com.sololearn.ruby;101;7;19;127;0.9351851851851852;undefined
com.myprg.aakash.ardunioprogramming;19;0;2;21;1;undefined
com.edmodo.parents;169;8;23;200;0.9548022598870056;undefined
com.kodigen.gobyexample;2;1;0;3;0.6666666666666666;undefined
com.milcanx.learnandroidapp;66;4;13;83;0.9428571428571428;undefined
seesaw.shadowpuppet.co.seesaw;155;11;34;200;0.9337349397590361;undefined
learn.apps.htmlprogramming;3;0;4;7;1;undefined
br.com.cpb.academico;1;3;15;19;0.25;undefined
com.HTML.AngularJS.Codeplay;163;8;29;200;0.9532163742690059;undefined
in.learncodeonline.lco;167;12;21;200;0.9329608938547486;undefined
tk.app.start;0;0;1;1;NaN;undefined
kr.robotmedia.android.stack.mini;0;0;1;1;NaN;undefined
learn.apps.rprogramming;3;0;1;4;1;undefined
learn.apps.javascriptprogramming;9;1;0;10;0.9;undefined
com.codepoint.learnandroid;58;4;10;72;0.9354838709677419;undefined
com.sololearn.php;146;7;47;200;0.954248366013072;undefined
mobile.olimpia.com.aprendeelectronica;24;10;21;55;0.7058823529411765;undefined
app.tutormundi.com;3;0;4;7;1;undefined
gudev.visualbasicvb.net;1;0;0;1;1;undefined
com.wProgrammingBooksfree_8766206;5;0;1;6;1;undefined
com.skyapper.learnaiwithpython;2;0;0;2;1;undefined
com.biiteducation.cpp;41;2;5;48;0.9534883720930233;undefined
in.softecks.ruby;2;2;1;5;0.5;undefined
avivace.daily_programmer;11;4;6;21;0.7333333333333333;undefined
com.coding.dmr.c;5;0;1;6;1;undefined
learn.apps.phpprogramming;5;0;4;9;1;undefined
learn.reactnative.tutorial;16;0;1;17;1;undefined
com.kodigen.pythonbyexample;4;1;3;8;0.8;undefined
com.back_banchers.css;7;0;1;8;1;undefined
com.jkfantasy.morseaudio;4;0;0;4;1;undefined
tursky.jan.nauc.sa.html5;132;22;46;200;0.8571428571428571;undefined
com.conedevstudio.morse.free;2;0;2;4;1;undefined
com.faadooengineers.free_webtechnology;19;6;8;33;0.76;undefined
org.stepic.droid;142;12;46;200;0.922077922077922;undefined
com.saifraheem.BagoLearn;39;1;63;103;0.975;undefined
technark.rforbeginners;5;2;0;7;0.7142857142857143;undefined
neuron.makeblock.com;5;3;1;9;0.625;undefined
com.lekastudio.learnhcj;15;1;4;20;0.9375;undefined
com.edokiacademy.babycoding;23;5;1;29;0.8214285714285714;undefined
com.continuum.learncss;31;3;6;40;0.9117647058823529;undefined
com.bootstrap.code.play;34;1;5;40;0.9714285714285714;undefined
in.intelitech.rprogramming;2;0;0;2;1;undefined
coolfreeapps.appslaborator.web.development.course;6;0;3;9;1;undefined
sgdevelopers.learn_c_programming;49;0;9;58;1;undefined
excel.shortcuts;178;4;18;200;0.978021978021978;undefined
com.enki.insights;171;9;20;200;0.95;undefined
com.codepoint.learnjavascript;16;1;3;20;0.9411764705882353;undefined
com.atulindap.gotutorials;8;0;0;8;1;undefined
clipescola.android;0;0;1;1;NaN;undefined
kr.co.rinasoft.yktime;159;16;25;200;0.9085714285714286;undefined
org.catrobat.catroid;118;34;48;200;0.7763157894736842;undefined
com.recurvo.ace.cpt.practice.exam.prep;2;0;1;3;1;undefined
vsapps.computerprogram;9;0;3;12;1;undefined
com.careerkarma.chat;119;5;13;137;0.9596774193548387;undefined
com.codepoint.computerProgramming;10;0;2;12;1;undefined
com.binarytuts.cprogrammingcode;2;0;2;4;1;undefined
com.nupuit.necd;9;0;2;11;1;undefined
com.theeasylearn.rprogramming;25;1;2;28;0.9615384615384616;undefined
io.cordova.ComputerProgrammingCP;5;1;3;9;0.8333333333333334;undefined
com.codepoint.learnnodejs;18;2;2;22;0.9;undefined
io.kodular.rijukeyshonsrijan.dp;4;0;0;4;1;undefined
com.velosys.interview_preparation;28;6;5;39;0.8235294117647058;undefined
com.lpalominos.horariodeclases;3;1;2;6;0.75;undefined
com.krazeapps.cppprogrammingcompiler;2;2;2;6;0.5;undefined
br.com.eteg.escolaemmovimento.escolaEmMovimentoAgendaDigital;0;0;1;1;NaN;undefined
com.faadooengineers.free_principlesofprogramming;9;1;2;12;0.9;undefined
com.irawen_info.MatLab;5;5;2;12;0.5;undefined
com.gjam.learnhtml;2;0;0;2;1;undefined
br.gov.pr.celepar.escolapr;0;3;13;16;0;undefined
learn.apps.cssprogramming;30;1;7;38;0.967741935483871;undefined
com.continuum.learnhtml;61;3;11;75;0.953125;undefined
in.softecks.python;8;2;0;10;0.8;undefined
com.skyapper.hb.learncnet;16;0;5;21;1;undefined
com.pratipalgif.LearnC;0;0;3;3;NaN;undefined
com.aplicativoslegais.easystudy;70;6;16;92;0.9210526315789473;undefined
com.rushhourlabs.morsecode;14;3;2;19;0.8235294117647058;undefined
com.blogspot.ustadtech.c_programmingwithme;6;0;2;8;1;undefined
app.oopcodeskyhive;11;4;5;20;0.7333333333333333;undefined
org.vivek.cherala.vhdlprogramming;10;6;7;23;0.625;undefined
com.wITandProgrammingandComputerScienceFreeBooks_7782437;8;0;2;10;1;undefined
com.coolbase.cprogramming;7;4;1;12;0.6363636363636364;undefined
php.code.play;28;2;4;34;0.9333333333333333;undefined
com.gokazu;31;0;1;32;1;undefined
com.nvizn.nvizinideasqr;1;1;0;2;0.5;undefined
com.swastik.operationalresearch;23;3;9;35;0.8846153846153846;undefined
com.thunkable.android.techword4u.Basic_C_Programming;9;2;1;12;0.8181818181818182;undefined
com.chavan.oops;51;3;10;64;0.9444444444444444;undefined
com.clanguage.pradip.bitsofcomputer;18;0;3;21;1;undefined
labprograms.abin.programmingexercises;14;0;4;18;1;undefined
in.learncodeonline.global;17;0;1;18;1;undefined
com.awwalsoft.javadeeplearning;160;10;30;200;0.9411764705882353;undefined
com.soft24hours.dictionaries.dictionary22;2;0;0;2;1;undefined
project.com.clanguage;11;0;1;12;1;undefined
com.niesens.morsetrainer;4;1;0;5;0.8;undefined
com.tsquare.androidtutorial;8;2;7;17;0.8;undefined
com.robo.programming;3;0;2;5;1;undefined
com.quizmine.webprogram;4;1;0;5;0.8;undefined
bishrulhaq.learntocode;15;0;0;15;1;undefined
sgdevelopers.learn_cpp_programming;41;1;10;52;0.9761904761904762;undefined
com.learn.electronics.course;15;3;7;25;0.8333333333333334;undefined
com.br.dicionariodeti;1;0;0;1;1;undefined
gudev.learn.phpprogrammingcoding;10;0;2;12;1;undefined
com.creativeworld.android.geeks_code;27;5;5;37;0.84375;undefined
com.futurevisioncomputers.cppquiz;5;0;0;5;1;undefined
diploma.in.computerapplication;2;1;5;8;0.6666666666666666;undefined
com.learnswiftprogramming;7;2;5;14;0.7777777777777778;undefined
com.apkzube.learnjavaprogramming;83;2;11;96;0.9764705882352941;undefined
com.LM.PGS;44;7;13;64;0.8627450980392157;undefined
com.kids.coding.firefighter;1;1;0;2;0.5;undefined
com.vineeta.pythonprogramming;10;0;1;11;1;undefined
com.codengoclient;4;0;1;5;1;undefined
in.ajaykhatri.pythontutorial;39;3;16;58;0.9285714285714286;undefined
com.jaindev.assembly;4;1;0;5;0.8;undefined
com.quantumappsolutions.learnprogramming;13;0;2;15;1;undefined
c.programming;149;20;31;200;0.8816568047337278;undefined
com.do_apps.catalog_285;10;2;2;14;0.8333333333333334;undefined
com.higgx.studying;3;0;3;6;1;undefined
com.jaypeesoft.ds;142;10;16;168;0.9342105263157895;undefined
in.intelitech.lispprogramming;0;0;2;2;NaN;undefined
com.app1daily.a1db304;1;1;1;3;0.5;undefined
com.illusorytapirus.morsecodelesson;27;7;7;41;0.7941176470588235;undefined
cc.makeblock.makeblock;92;51;57;200;0.6433566433566433;undefined
net.jshero;7;2;1;10;0.7777777777777778;undefined
com.japangor.learnjava;48;9;10;67;0.8421052631578947;undefined
com.rosapp.morsecode;3;3;3;9;0.5;undefined
com.webtapps.learn_json_programming;3;0;1;4;1;undefined
com.skyapper.learnsqlandsqlserver;5;1;1;7;0.8333333333333334;undefined
net.andromo.dev653868.app655379;8;0;1;9;1;undefined
com.skycodetech.codingquiz;43;4;6;53;0.9148936170212766;undefined
mc.javatutor.offline;2;0;1;3;1;undefined
com.raincontinues.simplc2;12;1;1;14;0.9230769230769231;undefined
com.futurevisioncomputers.python;2;0;0;2;1;undefined
com.awwalsoft.javawebprogramming;59;3;10;72;0.9516129032258065;undefined
com.codepoint.learncss;2;0;0;2;1;undefined
com.do_apps.catalog_485;2;0;1;3;1;undefined
com.frizzl.app.frizzleapp;2;0;1;3;1;undefined
com.back_banchers.cplusplus;9;0;3;12;1;undefined
com.codetoinvent.malik.cplusplus;27;1;2;30;0.9642857142857143;undefined
com.skyapper.learnpythonwithdatascience;6;0;0;6;1;undefined
com.thenewday.programmingcalendar.tpc;14;0;6;20;1;undefined
com.krazeapps.csharpprogrammingcompiler;2;0;0;2;1;undefined
com.back_banchers.python_programming;2;0;0;2;1;undefined
com.krazeapps.vhdlprogrammingcompiler;0;2;0;2;0;undefined
in.softecks.javascript;7;0;1;8;1;undefined
com.machinelearningforsmallbusiness.leetcodepython;12;0;1;13;1;undefined
com.educationapps.cncguide;4;0;2;6;1;undefined
com.barmej.android;23;10;46;79;0.696969696969697;undefined
learn.html.programming;11;3;4;18;0.7857142857142857;undefined
com.jesusdigitalrd.jpcsim;89;43;68;200;0.6742424242424242;undefined
ltos.learn.cand.java;15;2;3;20;0.8823529411764706;undefined
com.appscook.parentconnect.app.android.alphonsakop;5;1;2;8;0.8333333333333334;undefined
eg.io.aliqohal71.android.apk.abc;1;0;3;4;1;undefined
com.coderbro.tutorial.arduinoprogrammingduo;13;1;7;21;0.9285714285714286;undefined
com.codepoint.learnkotlin;4;0;1;5;1;undefined
com.java.user.javaprogramming;34;1;1;36;0.9714285714285714;undefined
techhunt.com.androidexamples;30;5;5;40;0.8571428571428571;undefined
com.qtechbd.tutorial.python;6;1;0;7;0.8571428571428571;undefined
com.japangor.learnjs;1;1;1;3;0.5;undefined
com.foxbox.app.nslc.android;1;0;0;1;1;undefined
com.tool.calculator.casio.fx991.es.plus;162;7;31;200;0.9585798816568047;undefined
com.antlem.coderhub;15;0;1;16;1;undefined
com.HealthFitnessAndTutorials.JavaAdvanceJavaTutorial;1;0;1;2;1;undefined
com.JustForYouLimited.LearnJavaScriptOffline;6;1;0;7;0.8571428571428571;undefined
com.makeblock.mblock;25;5;7;37;0.8333333333333334;undefined
br.com.iped;3;0;12;15;1;undefined
com.muzudre.Probooks;16;2;1;19;0.8888888888888888;undefined
com.do_apps.catalog_68;38;2;12;52;0.95;undefined
com.brainbox.excelvba;19;1;0;20;0.95;undefined
com.apkzube.learncpp;37;2;1;40;0.9487179487179487;undefined
com.mhasancse15.programminglanguage;10;1;2;13;0.9090909090909091;undefined
com.app4daily.computerrepairingcourse;6;0;0;6;1;undefined
com.tutorials.learn.androidexample;85;5;17;107;0.9444444444444444;undefined
com.lego.education.wedo;45;5;26;76;0.9;undefined
com.spyboy.cplusplusprogramming;13;0;6;19;1;undefined
juanantonioripoll.practiceexercisescsharp;22;3;10;35;0.88;undefined
com.clickapp.ik.listview;4;0;0;4;1;undefined
