Bundle Id;PolaridadeAplicativo;numeroEstrelas;grupos
com.java.questionwithanswerinterview.android;0.82;4.0;3
com.gokazu;1.00;4.8;3
coolfreeapps.appslaborator.html.course;0.95;4.2;3
labprograms.abin.programmingexercises;1.00;4.7;3
coolfreeapps.appslaborator.learn.c.programming;0.00;4.0;3
com.code.jupiter.learnjavascript;0.95;4.4;3
learn.web.php;0.94;4.3;3
com.myprg.aakash.ardunioprogramming;1.00;4.1;3
com.touchcoderapp.touchcoder;1.00;5.0;3
com.do_apps.catalog_68;0.94;4.1;3
io.kodular.ahmedkarundawala245.Learn_HTML;1.00;4.8;3
com.sitseducators.cpppatternprogramsfree;0.97;4.7;3
com.appsfactory.learnpython;1.00;4.6;3
com.paprbit.dcoder;0.89;4.4;1
com.analyticsvidhya.android;0.90;4.4;3
com.kids.coding.firefighter;0.67;3.7;3
com.apkzube.learnkotlin;0.90;4.4;3
air.com.rosettastone.mobile.CoursePlayer;0.93;4.6;2
com.jids.lspexample;1.00;4.5;3
com.mres.schedule;0.98;4.7;1
com.cuseju.tubestudy;0.93;4.6;3
oop.cite.pc_admin.trial_3navbar;0.43;4.2;3
com.quantumappsolutions.learnprogramming;1.00;4.4;3
com.skyapper.learnspring;1.00;4.7;3
randomappsinc.com.sqlpracticeplus;0.95;4.7;3
com.CoderBro.tutorials.arduinotutorials;0.87;4.0;3
com.rrtdevelopers.cursodereparaciondecelularesenespanol;0.94;4.4;3
programming.android.tutorial;0.90;4.3;3
com.krazeapps.cppprogrammingcompiler;0.63;2.8;3
training.computing.scratchkids;0.79;4.0;3
com.adriada.impararejava;1.00;4.4;3
com.C_Examples.C_Programming;1.00;4.5;3
com.apkzube.learnpython;0.94;4.6;3
ru.iiec.cxxdroid;0.90;4.3;3
com.sololearn.java;0.88;4.6;4
bishrulhaq.learntocode;1.00;4.3;3
com.susanapp.cursodeinformatica;0.88;4.0;3
wiki.algorithm.algorithms;0.94;4.6;1
com.getmimo;0.98;4.5;4
app.compiler;0.94;4.4;3
javatutorial.javamcq.learnjava.learnjava_startfromscratch;1.00;4.9;3
